elapsed_s,cpu_user_pct,cpu_system_pct,cpu_total_pct,rss_mb,words_total,speaking_duration_s,avg_wpm,rms_avg,thermal_state,marker
10.0,0.00,0.00,0.00,23.9,0,0.0,0.0,0.002031,0,
20.0,0.00,0.00,0.00,24.1,1,19.3,0.0,0.001964,0,
30.0,1.41,0.26,1.67,24.1,1,19.3,0.0,0.002285,0,
40.0,0.00,0.00,0.00,24.1,1,19.3,0.0,0.002480,0,
50.0,0.00,0.00,0.00,24.1,1,19.3,0.0,0.001855,0,
60.0,2.98,0.57,3.55,24.1,1,19.3,0.0,0.001927,0,
70.0,0.00,0.00,0.00,24.1,1,19.3,0.0,0.002147,0,
80.0,0.00,0.00,0.00,24.1,1,19.3,0.0,0.002680,0,
90.0,3.34,0.72,4.05,21.2,1,19.3,0.0,0.002999,0,
100.0,0.00,0.00,0.00,21.2,1,19.3,0.0,0.003260,0,
110.0,0.00,0.00,0.00,21.2,1,19.3,0.0,0.004359,0,
120.0,0.00,0.00,0.00,21.2,1,19.3,0.0,0.002036,0,
130.0,0.00,0.00,0.00,21.2,1,19.3,0.0,0.002125,0,
140.0,0.00,0.00,0.00,21.2,1,19.3,0.0,0.002119,0,
150.0,6.00,0.87,6.86,21.2,1,19.3,0.0,0.001709,0,
160.0,0.00,0.00,0.00,21.2,1,19.3,0.0,0.001725,0,
170.0,0.00,0.00,0.00,21.2,1,19.3,0.0,0.001873,0,
180.0,0.00,0.00,0.00,21.2,1,19.3,0.0,0.001911,0,
190.0,0.00,0.00,0.00,21.2,1,19.3,0.0,0.001693,0,
200.0,0.00,0.00,0.00,21.3,1,19.3,0.0,0.002732,0,
210.0,0.00,0.00,0.00,21.3,1,19.3,0.0,0.002259,0,
220.0,0.00,0.00,0.00,21.3,1,19.3,0.0,0.004090,0,
230.0,0.00,0.00,0.00,21.3,1,19.3,0.0,0.006587,0,
240.0,0.00,0.00,0.00,21.2,1,19.3,0.0,0.002551,0,
250.0,0.00,0.00,0.00,21.3,1,19.3,0.0,0.001919,0,
260.0,19.04,3.66,22.69,21.2,1,19.3,0.0,0.002246,0,
270.0,0.00,0.00,0.00,21.2,1,19.3,0.0,0.001923,0,
280.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.001780,0,
290.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.002119,0,
300.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.002025,0,
310.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.002142,0,
320.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.001928,0,
330.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.002448,0,
340.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.002762,0,
350.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.002085,0,
360.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.001900,0,
370.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.002067,0,
380.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.001804,0,
390.0,12.38,2.44,14.82,21.4,1,19.3,0.0,0.001861,0,
400.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.002874,0,
410.0,0.00,0.00,0.00,21.4,1,19.3,0.0,0.002464,0,
420.0,33.72,6.73,40.44,21.4,1,19.3,0.0,0.002493,0,
430.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.002327,0,
440.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.002246,0,
450.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.004088,0,
460.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.004032,0,
470.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.004785,0,
480.1,0.00,0.00,0.00,20.5,1,19.3,0.0,0.004467,0,
490.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.004626,0,
500.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.005449,0,
510.0,0.00,0.00,0.00,20.6,1,19.3,0.0,0.006726,0,
520.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.004764,0,
530.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.008516,0,
540.0,33.21,6.61,39.81,20.5,1,19.3,0.0,0.005554,0,
550.0,0.00,0.00,0.00,20.8,1,19.3,0.0,0.005356,0,
560.0,0.00,0.00,0.00,20.8,1,19.3,0.0,0.002927,0,
570.0,0.00,0.00,0.00,20.8,1,19.3,0.0,0.005744,0,
580.0,0.00,0.00,0.00,20.8,1,19.3,0.0,0.005834,0,
590.0,0.00,0.00,0.00,20.8,1,19.3,0.0,0.005120,0,
600.0,15.14,2.71,17.85,20.8,1,19.3,0.0,0.004628,0,
610.0,0.00,0.00,0.00,20.8,1,19.3,0.0,0.005881,0,
620.0,16.12,3.11,19.23,20.8,1,19.3,0.0,0.003437,0,
630.0,0.00,0.00,0.00,20.8,1,19.3,0.0,0.004117,0,
640.0,0.44,0.07,0.51,20.8,1,19.3,0.0,0.005582,0,
650.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.004377,0,
660.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.005878,0,
670.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.005406,0,
680.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.005578,0,
690.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.003897,0,
700.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.002938,0,
710.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.004804,0,
720.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.003705,0,
730.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.003161,0,
740.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.003257,0,
750.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.003628,0,
760.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.005905,0,
770.0,0.00,0.00,0.00,20.7,1,19.3,0.0,0.006351,0,
780.0,0.00,0.00,0.00,20.6,1,19.3,0.0,0.003909,0,
790.0,0.00,0.00,0.00,20.6,1,19.3,0.0,0.004782,0,
800.0,0.00,0.00,0.00,20.6,1,19.3,0.0,0.002761,0,
810.0,0.00,0.00,0.00,20.6,1,19.3,0.0,0.003018,0,
820.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.003790,0,
830.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.002492,0,
840.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.002389,0,
850.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.002486,0,
860.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.002549,0,
870.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.002551,0,
880.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.004675,0,
890.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.007339,0,
900.0,0.00,0.00,0.00,20.5,1,19.3,0.0,0.002822,0,SCENARIO_BOUNDARY
910.0,0.00,0.00,0.00,20.6,1,19.3,0.0,0.003956,0,
920.0,0.00,0.00,0.00,20.6,1,19.3,0.0,0.005848,0,
930.0,0.00,0.00,0.00,20.6,1,19.3,0.0,0.005971,0,
940.0,0.00,0.00,0.00,21.2,21,937.1,0.0,0.005951,0,
950.0,0.00,0.00,0.00,21.6,284,948.6,23.6,0.008531,0,
960.0,47.38,16.89,64.28,21.4,284,948.6,16.5,0.002687,0,
970.0,4.24,0.94,5.17,21.6,298,967.9,11.6,0.005946,0,
980.0,0.00,0.00,0.00,21.8,498,979.4,75.3,0.013477,0,
990.0,36.77,6.99,43.76,21.9,599,987.1,52.7,0.010016,0,
1000.0,0.00,0.00,0.00,22.1,838,998.5,129.2,0.015808,0,
1010.0,3.18,0.71,3.89,22.0,972,1006.2,90.4,0.012652,0,
1020.0,0.00,0.00,0.00,21.6,1938,1017.7,92.8,0.012503,0,
1030.0,0.00,0.00,0.00,21.8,2210,1029.2,99.9,0.012493,0,
1040.0,0.00,0.00,0.00,21.6,2341,1036.9,69.9,0.012528,0,
1050.0,0.00,0.00,0.00,21.5,2734,1048.4,48.9,0.013107,0,
1060.0,2.41,0.50,2.91,21.4,2881,1056.1,34.3,0.014884,0,
1070.0,0.00,0.00,0.00,21.5,2986,1067.6,24.0,0.010402,0,
1080.0,0.00,0.00,0.00,21.8,3252,1079.2,16.8,0.012768,0,
1090.0,0.00,0.00,0.00,21.8,3449,1086.9,11.8,0.012913,0,
1100.0,0.00,0.00,0.00,22.2,3816,1098.4,8.2,0.013330,0,
1110.0,8.67,1.92,10.58,22.2,4082,1109.9,76.4,0.012989,0,
1120.0,0.00,0.00,0.00,22.2,4636,1117.6,53.5,0.011065,0,
1130.0,0.00,0.00,0.00,22.2,5296,1129.1,261.1,0.042737,0,
1140.0,0.00,0.00,0.00,22.3,5575,1136.8,182.8,0.031429,0,
1150.0,0.00,0.00,0.00,22.7,6435,1148.3,157.4,0.030799,0,
1160.0,0.00,0.00,0.00,22.8,6560,1159.8,141.5,0.036958,0,
1170.0,0.00,0.00,0.00,22.9,6650,1167.6,325.5,0.037756,0,
1180.0,13.61,2.86,16.47,22.9,7052,1179.1,404.4,0.017072,0,
1190.0,0.00,0.00,0.00,23.0,7462,1186.8,381.0,0.012154,0,
1200.0,0.00,0.00,0.00,23.0,7617,1198.2,344.6,0.014799,0,
1210.0,10.70,2.10,12.80,22.9,7897,1209.8,591.2,0.015313,0,
1220.0,0.00,0.00,0.00,22.9,8045,1217.5,705.4,0.015317,0,
1230.0,0.00,0.00,0.00,23.0,8317,1229.0,569.9,0.013351,0,
1240.0,0.00,0.00,0.00,23.0,8518,1236.6,398.9,0.015818,0,
1250.0,4.24,0.88,5.13,23.0,8783,1248.2,326.6,0.014026,0,
1260.0,0.00,0.00,0.00,21.3,8937,1259.7,282.6,0.013533,0,
1270.0,0.00,0.00,0.00,22.0,9165,1267.4,325.2,0.015301,0,
1280.0,0.00,0.00,0.00,22.1,9359,1278.8,438.2,0.014127,0,
1290.0,0.00,0.00,0.00,22.0,9554,1286.6,433.0,0.013984,0,
1300.0,5.22,1.04,6.26,22.2,9902,1298.1,303.1,0.012605,0,
1310.0,0.00,0.00,0.00,22.2,10328,1309.7,434.0,0.013828,0,
1320.0,0.00,0.00,0.00,22.3,10451,1317.2,571.4,0.014464,0,
1330.0,0.00,0.00,0.00,22.4,10884,1328.8,475.3,0.015225,0,
1340.0,0.00,0.00,0.00,22.4,10965,1336.4,355.5,0.015871,0,
1350.0,0.00,0.00,0.00,22.5,11214,1348.0,511.2,0.013254,0,
1360.0,0.00,0.00,0.00,22.5,11511,1359.6,699.4,0.013618,0,
1370.0,7.82,1.23,9.06,22.5,11930,1367.2,534.9,0.012974,0,
1380.0,0.00,0.00,0.00,23.2,12425,1378.8,558.8,0.013284,0,
1390.0,0.00,0.00,0.00,23.8,12748,1386.4,391.2,0.015101,0,
1400.0,0.00,0.00,0.00,24.2,13815,1398.0,460.4,0.014356,0,
1410.0,0.00,0.00,0.00,24.2,14610,1409.4,379.1,0.012953,0,
1420.0,0.00,0.00,0.00,24.2,14912,1417.2,288.0,0.014931,0,
1430.0,0.00,0.00,0.00,23.6,15172,1428.6,201.6,0.013309,0,
1440.0,0.00,0.00,0.00,23.6,15347,1436.3,172.7,0.015459,0,
1450.0,0.00,0.00,0.00,23.6,15974,1447.8,120.9,0.015047,0,
1460.0,14.64,2.63,17.27,23.8,17329,1459.9,318.2,0.012115,0,
1470.0,0.00,0.00,0.00,24.4,17724,1467.2,285.7,0.012889,0,
1480.0,0.00,0.00,0.00,24.5,18161,1478.5,236.3,0.011687,0,
1490.0,0.00,0.00,0.00,24.5,18459,1486.2,165.4,0.040953,0,
1500.0,0.00,0.00,0.00,24.7,18844,1497.7,413.8,0.034906,0,
1510.0,0.00,0.00,0.00,24.8,19482,1509.2,558.2,0.016215,0,
1520.0,11.08,1.65,12.74,24.1,19795,1516.9,584.1,0.014526,0,
1530.0,0.00,0.00,0.00,24.1,20526,1528.4,631.8,0.017202,0,
1540.0,0.00,0.00,0.00,24.1,20804,1536.1,442.3,0.014046,0,
1550.0,0.00,0.00,0.00,24.2,21621,1547.9,494.9,0.013681,0,
1560.0,0.00,0.00,0.00,24.1,22108,1559.2,778.7,0.013629,0,
1570.0,0.00,0.00,0.00,24.5,22479,1566.8,545.1,0.015012,0,
1580.0,0.00,0.00,0.00,24.6,23264,1578.4,430.8,0.013330,0,
1590.0,0.00,0.00,0.00,24.6,23461,1589.9,347.6,0.014715,0,
1600.0,8.82,1.35,10.17,25.1,23559,1597.6,333.8,0.015803,0,
1610.0,0.00,0.00,0.00,25.1,24126,1609.3,285.1,0.016379,0,
1620.0,0.00,0.00,0.00,25.1,24530,1616.8,199.6,0.013437,0,
1630.0,0.00,0.00,0.00,26.5,24815,1628.3,139.7,0.014824,0,
1640.0,0.00,0.00,0.00,26.7,25338,1639.8,332.3,0.015467,0,
1650.0,0.00,0.00,0.00,27.8,25589,1647.5,464.5,0.015803,0,
1660.0,0.00,0.00,0.00,27.5,26177,1659.1,643.8,0.014216,0,
1670.0,0.00,0.00,0.00,27.7,26431,1666.8,620.1,0.014255,0,
1680.0,0.00,0.00,0.00,24.2,27094,1678.4,993.6,0.015003,0,
1690.0,0.00,0.00,0.00,24.9,27568,1689.8,795.0,0.015345,0,
1700.0,0.00,0.00,0.00,25.0,27826,1697.4,556.5,0.015914,0,
1710.0,0.00,0.00,0.00,25.7,28489,1708.9,448.8,0.015524,0,
1720.0,0.00,0.00,0.00,25.8,28702,1716.6,644.0,0.015536,0,
1730.0,0.00,0.00,0.00,25.9,29817,1728.1,450.8,0.015542,0,
1740.0,0.00,0.00,0.00,25.8,31605,1739.6,315.5,0.015263,0,
1750.0,0.00,0.00,0.00,25.7,31876,1747.3,220.9,0.013211,0,
1760.0,0.00,0.00,0.00,25.2,32719,1759.0,238.0,0.012087,0,
1770.0,0.00,0.00,0.00,25.6,33046,1766.6,166.6,0.012562,0,
1780.0,0.00,0.00,0.00,25.9,33798,1778.0,198.0,0.014108,0,
1790.0,47.45,8.16,55.61,25.9,34193,1789.6,138.6,0.014512,0,
1800.0,13.39,2.45,15.84,26.0,34570,1797.2,97.0,0.013886,0,
1810.0,1.23,0.24,1.47,26.1,34895,1808.8,67.9,0.013760,0,
1820.0,0.00,0.00,0.00,26.1,35046,1816.4,47.5,0.014080,0,
1830.0,0.00,0.00,0.00,26.2,35390,1828.1,227.3,0.016726,0,
1840.0,0.00,0.00,0.00,26.0,35876,1839.5,159.1,0.015296,0,
1850.0,0.00,0.00,0.00,26.3,36315,1847.3,199.8,0.015109,0,
1860.0,34.23,5.85,40.08,25.5,36586,1858.7,139.9,0.015190,0,
1870.0,0.00,0.00,0.00,25.3,36748,1866.5,156.4,0.014803,0,
